timestamp,timeframe,candle_time,open,high,low,close,supertrend,supertrend_direction,jma,jma_direction,candle_average,signal,reasons
2024-10-15T13:13:35.106097,5s,2024-10-15T13:13:30,51823.5,51829.55,51822.45,51826.75,51837.85,0.0,49392.18,1.0,51828.385714285716,Neutral,
2024-10-15T13:13:40.051941,5s,2024-10-15T13:13:35,51825.65,51828.2,51824.9,51826.45,51837.1,0.0,50527.07,1.0,51828.14375,Neutral,
2024-10-15T13:13:45.405205,5s,2024-10-15T13:13:40,51826.2,51829.7,51821.35,51821.35,51837.1,0.0,51140.1,1.0,51827.38888888889,Neutral,
2024-10-15T13:13:50.183538,5s,2024-10-15T13:13:45,51824.35,51831.45,51824.2,51829.95,51837.1,0.0,51468.4,1.0,51827.645000000004,Neutral,
2024-10-15T13:13:55.431180,5s,2024-10-15T13:13:50,51830.5,51831.0,51824.25,51824.5,51837.1,0.0,51640.9,1.0,51826.83,Neutral,
2024-10-15T13:14:00.070059,5s,2024-10-15T13:13:55,51828.2,51830.4,51828.2,51829.05,51837.1,0.0,51731.69,1.0,51827.104999999996,Neutral,
2024-10-15T13:14:05.279218,5s,2024-10-15T13:14:00,51826.9,51835.95,51826.5,51834.95,51837.1,0.0,51780.9,1.0,51827.625,Neutral,
2024-10-15T13:14:10.465097,5s,2024-10-15T13:14:05,51832.9,51835.95,51831.95,51832.25,51837.1,0.0,51806.75,1.0,51827.88,Neutral,
2024-10-15T13:14:15.248475,5s,2024-10-15T13:14:10,51831.65,51836.25,51831.5,51833.1,51837.1,0.0,51820.19,1.0,51828.24,Neutral,
2024-10-15T13:14:20.506935,5s,2024-10-15T13:14:15,51832.1,51834.65,51832.1,51834.65,51837.1,0.0,51827.46,1.0,51829.3,Neutral,
2024-10-15T13:14:25.342849,5s,2024-10-15T13:14:20,51832.55,51837.95,51830.5,51835.3,51837.1,0.0,51831.53,1.0,51830.155,Neutral,
2024-10-15T13:14:30.287336,5s,2024-10-15T13:14:25,51836.35,51839.4,51834.15,51838.5,51825.71,1.0,51834.63,1.0,51831.36,Bullish,Supertrend and JMA are bullish
2024-10-15T13:14:35.120285,5s,2024-10-15T13:14:30,51837.0,51839.55,51834.4,51839.55,51826.17,1.0,51837.08,1.0,51833.18,Bullish,Supertrend and JMA are bullish
2024-10-15T13:14:40.681396,5s,2024-10-15T13:14:35,51839.05,51839.85,51837.35,51837.9,51829.73,1.0,51838.22,1.0,51833.975,Bullish,Supertrend and JMA are bullish
2024-10-15T13:14:45.166924,5s,2024-10-15T13:14:40,51838.15,51838.85,51837.2,51837.2,51831.01,1.0,51838.35,1.0,51835.245,Bullish,Supertrend and JMA are bullish
2024-10-15T13:14:50.359655,5s,2024-10-15T13:14:45,51836.8,51837.65,51827.1,51827.1,51844.08,-1.0,51835.21,-1.0,51835.05,Bearish,Supertrend and JMA are bearish
2024-10-15T13:14:55.077697,5s,2024-10-15T13:14:50,51827.5,51830.5,51821.35,51821.35,51839.83,-1.0,51829.91,-1.0,51833.689999999995,Bearish,Supertrend and JMA are bearish
2024-10-15T13:15:00.503980,5s,2024-10-15T13:14:55,51820.25,51821.95,51815.3,51819.2,51832.33,-1.0,51824.69,-1.0,51832.384999999995,Bearish,Supertrend and JMA are bearish
