timestamp,timeframe,token,open,high,low,close,signal,reasons
2024-10-15T22:44:10.282911,5s,432294,5920.0,5920.0,5920.0,5920.0,Neutral,
2024-10-15T22:44:24.351544,5s,432294,5922.0,5923.0,5921.0,5921.0,Neutral,
2024-10-15T22:44:25.852757,5s,432294,5920.0,5920.0,5920.0,5920.0,Neutral,
2024-10-15T22:44:34.901901,5s,432294,5917.0,5917.0,5917.0,5917.0,Neutral,
2024-10-15T22:44:50.518221,5s,432294,5916.0,5916.0,5916.0,5916.0,Neutral,
2024-10-15T22:44:56.539492,5s,432294,5913.0,5915.0,5913.0,5915.0,Neutral,
2024-10-15T22:45:03.564305,5s,432294,5914.0,5915.0,5914.0,5914.0,Neutral,
2024-10-15T22:45:13.096208,5s,432294,5915.0,5917.0,5915.0,5917.0,Neutral,
2024-10-15T22:45:17.630851,5s,432294,5920.0,5920.0,5920.0,5920.0,Neutral,
2024-10-15T22:45:35.187368,5s,432294,5920.0,5920.0,5920.0,5920.0,Neutral,
2024-10-15T22:45:43.722237,5s,432294,5918.0,5918.0,5918.0,5918.0,Neutral,
2024-10-15T22:45:46.735847,5s,432294,5920.0,5920.0,5920.0,5920.0,Neutral,
2024-10-15T22:45:55.775426,5s,432294,5923.0,5923.0,5923.0,5923.0,Neutral,
2024-10-15T22:46:16.342775,5s,432294,5922.0,5922.0,5922.0,5922.0,Neutral,
2024-10-15T22:46:28.886383,5s,432294,5923.0,5923.0,5921.0,5921.0,Neutral,
2024-10-15T22:46:40.415951,5s,432294,5919.0,5919.0,5919.0,5919.0,Neutral,
2024-10-15T22:47:23.558267,5s,432294,5921.0,5921.0,5921.0,5921.0,Neutral,
2024-10-15T22:47:39.098385,5s,432294,5922.0,5922.0,5922.0,5922.0,Neutral,
2024-10-15T22:47:42.616028,5s,432294,5925.0,5925.0,5925.0,5925.0,Neutral,
2024-10-15T22:48:01.170082,5s,432294,5924.0,5924.0,5924.0,5924.0,Neutral,
2024-10-15T22:48:12.711736,5s,432294,5923.0,5923.0,5923.0,5923.0,Neutral,
2024-10-15T22:48:16.725559,5s,432294,5925.0,5925.0,5925.0,5925.0,Neutral,
2024-10-15T22:48:23.240610,5s,432294,5927.0,5927.0,5927.0,5927.0,Neutral,
2024-10-15T22:48:26.249270,5s,432294,5929.0,5929.0,5929.0,5929.0,Neutral,
2024-10-15T22:48:34.276337,5s,432294,5927.0,5929.0,5927.0,5929.0,Neutral,
2024-10-15T22:48:37.289102,5s,432294,5927.0,5927.0,5927.0,5927.0,Neutral,
2024-10-15T22:48:43.307061,5s,432294,5929.0,5929.0,5929.0,5929.0,Neutral,
2024-10-15T22:48:51.332727,5s,432294,5929.0,5929.0,5929.0,5929.0,Neutral,
