tt,open,high,low,close,long_stop,short_stop,ce_direction
2024-08-01 10:37:00,51724.6,51727.2,51713.6,51719.75,,,0.0
2024-08-01 10:38:00,51717.35,51734.75,51717.35,51722.45,,,0.0
2024-08-01 10:39:00,51722.9,51745.05,51719.5,51744.1,51735.399999999994,51731.149999999994,0.0
2024-08-01 10:40:00,51744.45,51750.1,51737.35,51744.95,51735.399999999994,51754.825,1.0
2024-08-01 10:41:00,51744.65,51756.1,51740.2,51747.9,51735.399999999994,51754.825,1.0
2024-08-01 10:42:00,51745.8,51747.25,51731.1,51731.5,51735.399999999994,51746.55625,-1.0
2024-08-01 10:43:00,51734.6,51743.35,51723.05,51740.8,51723.121875000004,51746.55625,-1.0
2024-08-01 10:44:00,51738.85,51740.85,51728.75,51728.75,51725.910937500004,51743.6390625,-1.0
2024-08-01 10:45:00,51728.25,51738.2,51726.95,51736.15,51725.910937500004,51741.81953125,-1.0
2024-08-01 10:46:00,51736.65,51754.55,51731.95,51754.1,51736.265234374994,51741.81953125,1.0
2024-08-01 10:47:00,51753.05,51753.6,51731.55,51736.0,51736.265234374994,51756.1923828125,-1.0
2024-08-01 10:48:00,51734.3,51739.45,51713.65,51714.65,51713.003808593756,51737.646191406246,-1.0
2024-08-01 10:49:00,51714.95,51728.05,51712.05,51725.25,51713.003808593756,51734.14809570312,-1.0
2024-08-01 10:50:00,51725.4,51726.55,51707.35,51713.1,51713.003808593756,51732.449047851565,-1.0
2024-08-01 10:51:00,51713.75,51716.65,51684.45,51684.45,51713.003808593756,51710.22452392578,-1.0
2024-08-01 10:52:00,51685.35,51694.8,51677.25,51694.55,51672.88773803711,51706.11226196289,-1.0
2024-08-01 10:53:00,51694.8,51711.2,51682.75,51684.75,51672.88773803711,51706.11226196289,-1.0
2024-08-01 10:54:00,51684.9,51692.3,51670.7,51674.1,51672.88773803711,51697.42806549073,-1.0
2024-08-01 10:55:00,51674.6,51686.25,51667.6,51683.95,51672.88773803711,51695.08903274536,-1.0
2024-08-01 10:56:00,51687.7,51698.9,51685.9,51693.0,51675.03048362731,51695.08903274536,-1.0
2024-08-01 10:57:00,51693.3,51703.7,51678.5,51688.05,51675.03048362731,51695.08903274536,-1.0
2024-08-01 10:58:00,51687.55,51693.7,51675.55,51691.7,51675.03048362731,51695.08903274536,-1.0
2024-08-01 10:59:00,51690.9,51705.15,51689.05,51697.05,51679.06631045342,51695.08903274536,1.0
2024-08-01 11:00:00,51697.35,51721.7,51697.35,51712.55,51691.23315522671,51718.36684477329,1.0
2024-08-01 11:01:00,51712.7,51713.1,51688.95,51696.1,51691.23315522671,51718.36684477329,1.0
2024-08-01 11:02:00,51697.95,51719.35,51694.5,51714.55,51691.23315522671,51718.36684477329,1.0
2024-08-01 11:03:00,51714.9,51720.45,51706.4,51709.75,51695.62914440334,51718.36684477329,1.0
2024-08-01 11:04:00,51708.65,51709.65,51694.05,51700.9,51695.62914440334,51718.21042779833,1.0
2024-08-01 11:05:00,51702.1,51702.1,51691.5,51696.0,51695.62914440334,51709.955213899164,1.0
2024-08-01 11:06:00,51696.2,51704.9,51690.2,51704.9,51695.62914440334,51709.955213899164,1.0
2024-08-01 11:07:00,51705.15,51708.7,51698.4,51702.55,51695.62914440334,51709.955213899164,1.0
2024-08-01 11:08:00,51702.3,51719.15,51697.7,51713.15,51696.268098262604,51709.955213899164,1.0
