2024-07-26 19:30:00,CRUDEOILM14AUG24P6500,SHORT ENTRY,173.0,2024-07-26 19:30:05.055327
2024-07-26 19:31:10,CRUDEOILM14AUG24P6500,SHORT_EXIT,174.0,2024-07-26 19:31:15.012117
2024-07-26 19:31:10,CRUDEOILM14AUG24C6500,LONG ENTRY,155.8,2024-07-26 19:31:15.015501
2024-07-26 19:32:25,CRUDEOILM14AUG24C6500,LONG_EXIT,156.55,2024-07-26 19:32:30.008186
2024-07-26 19:32:25,CRUDEOILM14AUG24P6500,SHORT ENTRY,174.1,2024-07-26 19:32:30.010842
2024-07-26 19:32:50,CRUDEOILM14AUG24P6500,SHORT_EXIT,173.65,2024-07-26 19:32:55.039288
2024-07-26 19:32:50,CRUDEOILM14AUG24C6500,LONG ENTRY,155.8,2024-07-26 19:32:55.042403
2024-07-26 19:33:05,CRUDEOILM14AUG24C6500,LONG_EXIT,155.8,2024-07-26 19:33:10.040411
2024-07-26 19:33:05,CRUDEOILM14AUG24P6500,SHORT ENTRY,173.65,2024-07-26 19:33:10.043120
2024-07-26 19:33:50,CRUDEOILM14AUG24P6500,SHORT_EXIT,173.65,2024-07-26 19:33:55.060266
2024-07-26 19:33:50,CRUDEOILM14AUG24C6500,LONG ENTRY,155.8,2024-07-26 19:33:55.063164
2024-07-26 19:34:25,CRUDEOILM14AUG24C6500,LONG_EXIT,157.4,2024-07-26 19:34:30.002462
2024-07-26 19:34:25,CRUDEOILM14AUG24P6500,SHORT ENTRY,174.25,2024-07-26 19:34:30.005130
2024-07-26 19:34:35,CRUDEOILM14AUG24P6500,SHORT_EXIT,173.65,2024-07-26 19:34:40.293057
2024-07-26 19:34:35,CRUDEOILM14AUG24C6500,LONG ENTRY,157.5,2024-07-26 19:34:40.296906
2024-07-26 19:35:25,CRUDEOILM14AUG24C6500,LONG_EXIT,157.5,2024-07-26 19:35:30.103009
2024-07-26 19:35:25,CRUDEOILM14AUG24P6500,SHORT ENTRY,172.9,2024-07-26 19:35:30.104783
2024-07-26 19:35:45,CRUDEOILM14AUG24P6500,SHORT_EXIT,174.0,2024-07-26 19:35:50.042359
2024-07-26 19:35:45,CRUDEOILM14AUG24C6500,LONG ENTRY,155.7,2024-07-26 19:35:50.045526
2024-07-26 19:36:55,CRUDEOILM14AUG24C6500,LONG_EXIT,154.65,2024-07-26 19:37:00.033890
2024-07-26 19:36:55,CRUDEOILM14AUG24P6500,SHORT ENTRY,172.6,2024-07-26 19:37:00.037168
2024-07-26 19:37:25,CRUDEOILM14AUG24P6500,SHORT_EXIT,173.0,2024-07-26 19:37:30.047832
2024-07-26 19:37:25,CRUDEOILM14AUG24C6500,LONG ENTRY,154.9,2024-07-26 19:37:30.050911
2024-07-26 19:37:35,CRUDEOILM14AUG24C6500,LONG_EXIT,154.9,2024-07-26 19:37:40.030364
2024-07-26 19:40:20,CRUDEOILM14AUG24C6500,LONG ENTRY,151.3,2024-07-26 19:40:25.063451
2024-07-26 19:42:25,CRUDEOILM14AUG24C6500,LONG_EXIT,156.7,2024-07-26 19:42:30.189922
2024-07-26 19:42:25,CRUDEOILM14AUG24P6500,SHORT ENTRY,174.2,2024-07-26 19:42:30.190761
