time,stat,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-09-04 13:30:00,Ok,1693814400,44548.55,44567.1,44528.2,44556.45,0.00,0,0,0,0
2023-09-04 13:35:00,Ok,1693814700,44557.7,44566.85,44546.85,44556.5,0.00,0,0,0,0
2023-09-04 13:40:00,Ok,1693815000,44557.35,44566.15,44529.85,44533.9,0.00,0,0,0,0
2023-09-04 13:45:00,Ok,1693815300,44534.85,44543.5,44501.95,44534.25,0.00,0,0,0,0
2023-09-04 13:50:00,Ok,1693815600,44534.45,44557.4,44523.45,44523.45,0.00,0,0,0,0
2023-09-04 13:55:00,Ok,1693815900,44526.3,44532.35,44474.55,44497.95,0.00,0,0,0,0
2023-09-04 14:00:00,Ok,1693816200,44497.45,44525.5,44462.2,44493.15,0.00,0,0,0,0
2023-09-04 14:05:00,Ok,1693816500,44493.8,44525.85,44467.6,44523.45,0.00,0,0,0,0
2023-09-04 14:10:00,Ok,1693816800,44525.7,44536.9,44504.0,44508.95,0.00,0,0,0,0
2023-09-04 14:15:00,Ok,1693817100,44509.0,44514.7,44479.8,44484.85,0.00,0,0,0,0
2023-09-04 14:20:00,Ok,1693817400,44481.5,44530.7,44471.55,44498.2,0.00,0,0,0,0
2023-09-04 14:25:00,Ok,1693817700,44498.0,44542.0,44487.85,44534.8,0.00,0,0,0,0
2023-09-04 14:30:00,Ok,1693818000,44535.5,44551.3,44520.0,44520.0,0.00,0,0,0,0
2023-09-04 14:35:00,Ok,1693818300,44521.85,44550.05,44488.6,44530.55,0.00,0,0,0,0
2023-09-04 14:40:00,Ok,1693818600,44530.25,44576.9,44514.35,44576.7,0.00,0,0,0,0
2023-09-04 14:45:00,Ok,1693818900,44576.5,44592.15,44555.1,44563.0,0.00,0,0,0,0
2023-09-04 14:50:00,Ok,1693819200,44563.8,44567.25,44547.25,44551.15,0.00,0,0,0,0
2023-09-04 14:55:00,Ok,1693819500,44550.2,44561.8,44534.55,44552.65,0.00,0,0,0,0
2023-09-04 15:00:00,Ok,1693819800,44553.05,44560.0,44524.4,44558.0,0.00,0,0,0,0
2023-09-04 15:05:00,Ok,1693820100,44558.55,44594.6,44551.65,44590.5,0.00,0,0,0,0
2023-09-04 15:10:00,Ok,1693820400,44591.65,44593.65,44558.75,44572.2,0.00,0,0,0,0
2023-09-04 15:15:00,Ok,1693820700,44569.4,44589.95,44563.75,44585.45,0.00,0,0,0,0
2023-09-04 15:20:00,Ok,1693821000,44587.65,44599.95,44569.9,44596.75,0.00,0,0,0,0
2023-09-04 15:25:00,Ok,1693821300,44596.65,44625.05,44554.5,44625.05,0.00,0,0,0,0
2023-09-05 09:15:00,Ok,1693885500,44637.25,44637.25,44550.35,44552.8,0.00,0,0,0,0
2023-09-05 09:20:00,Ok,1693885800,44550.4,44595.35,44544.95,44578.15,0.00,0,0,0,0
2023-09-05 09:25:00,Ok,1693886100,44576.55,44582.75,44554.8,44574.6,0.00,0,0,0,0
2023-09-05 09:30:00,Ok,1693886400,44571.35,44592.6,44546.3,44571.3,0.00,0,0,0,0
2023-09-05 09:35:00,Ok,1693886700,44567.65,44594.5,44557.5,44591.3,0.00,0,0,0,0
2023-09-05 09:40:00,Ok,1693887000,44589.6,44655.05,44583.2,44655.05,0.00,0,0,0,0
2023-09-05 09:45:00,Ok,1693887300,44653.8,44666.5,44642.65,44646.65,0.00,0,0,0,0
2023-09-05 09:50:00,Ok,1693887600,44650.0,44651.4,44619.7,44620.55,0.00,0,0,0,0
2023-09-05 09:55:00,Ok,1693887900,44616.9,44647.35,44616.9,44632.55,0.00,0,0,0,0
2023-09-05 10:00:00,Ok,1693888200,44630.45,44660.45,44629.1,44645.5,0.00,0,0,0,0
2023-09-05 10:05:00,Ok,1693888500,44642.1,44660.25,44635.3,44650.6,0.00,0,0,0,0
2023-09-05 10:10:00,Ok,1693888800,44649.45,44666.05,44645.4,44653.7,0.00,0,0,0,0
2023-09-05 10:15:00,Ok,1693889100,44650.65,44655.55,44538.25,44538.25,0.00,0,0,0,0
2023-09-05 10:20:00,Ok,1693889400,44536.4,44550.05,44524.65,44547.25,0.00,0,0,0,0
2023-09-05 10:25:00,Ok,1693889700,44551.2,44569.55,44538.7,44538.7,0.00,0,0,0,0
2023-09-05 10:30:00,Ok,1693890000,44538.5,44572.3,44524.85,44567.95,0.00,0,0,0,0
2023-09-05 10:35:00,Ok,1693890300,44567.65,44591.75,44565.45,44590.55,0.00,0,0,0,0
2023-09-05 10:40:00,Ok,1693890600,44592.4,44593.85,44562.75,44566.9,0.00,0,0,0,0
2023-09-05 10:45:00,Ok,1693890900,44566.65,44577.4,44554.35,44577.4,0.00,0,0,0,0
2023-09-05 10:50:00,Ok,1693891200,44579.35,44584.6,44552.4,44553.6,0.00,0,0,0,0
2023-09-05 10:55:00,Ok,1693891500,44554.7,44557.9,44505.15,44511.25,0.00,0,0,0,0
2023-09-05 11:00:00,Ok,1693891800,44512.05,44554.45,44492.85,44543.8,0.00,0,0,0,0
2023-09-05 11:05:00,Ok,1693892100,44543.45,44547.85,44481.55,44513.7,0.00,0,0,0,0
2023-09-05 11:10:00,Ok,1693892400,44520.05,44550.7,44512.3,44539.0,0.00,0,0,0,0
2023-09-05 11:15:00,Ok,1693892700,44543.05,44548.05,44526.65,44536.8,0.00,0,0,0,0
2023-09-05 11:20:00,Ok,1693893000,44536.7,44544.7,44501.8,44507.65,0.00,0,0,0,0
2023-09-05 11:25:00,Ok,1693893300,44507.3,44535.35,44506.5,44529.35,0.00,0,0,0,0
2023-09-05 11:30:00,Ok,1693893600,44529.3,44535.9,44510.05,44514.15,0.00,0,0,0,0
2023-09-05 11:35:00,Ok,1693893900,44514.05,44530.55,44507.0,44526.6,0.00,0,0,0,0
2023-09-05 11:40:00,Ok,1693894200,44527.3,44536.5,44522.55,44532.05,0.00,0,0,0,0
2023-09-05 11:45:00,Ok,1693894500,44531.55,44536.9,44521.6,44525.5,0.00,0,0,0,0
2023-09-05 11:50:00,Ok,1693894800,44524.4,44561.65,44523.0,44557.55,0.00,0,0,0,0
2023-09-05 11:55:00,Ok,1693895100,44557.3,44578.0,44545.05,44562.1,0.00,0,0,0,0
2023-09-05 12:00:00,Ok,1693895400,44560.6,44562.2,44495.95,44503.45,0.00,0,0,0,0
2023-09-05 12:05:00,Ok,1693895700,44502.75,44540.25,44488.45,44518.8,0.00,0,0,0,0
2023-09-05 12:10:00,Ok,1693896000,44504.8,44509.75,44461.65,44486.65,0.00,0,0,0,0
2023-09-05 12:15:00,Ok,1693896300,44485.25,44491.5,44466.9,44472.1,0.00,0,0,0,0
2023-09-05 12:20:00,Ok,1693896600,44473.3,44484.15,44459.5,44480.7,0.00,0,0,0,0
2023-09-05 12:25:00,Ok,1693896900,44484.55,44494.7,44469.3,44474.75,0.00,0,0,0,0
2023-09-05 12:30:00,Ok,1693897200,44471.6,44475.25,44426.8,44460.7,0.00,0,0,0,0
2023-09-05 12:35:00,Ok,1693897500,44462.9,44484.2,44449.9,44452.85,0.00,0,0,0,0
2023-09-05 12:40:00,Ok,1693897800,44455.65,44458.7,44436.8,44444.35,0.00,0,0,0,0
2023-09-05 12:45:00,Ok,1693898100,44447.45,44460.0,44429.6,44458.7,0.00,0,0,0,0
2023-09-05 12:50:00,Ok,1693898400,44463.85,44479.15,44443.1,44453.45,0.00,0,0,0,0
2023-09-05 12:55:00,Ok,1693898700,44457.2,44477.6,44450.4,44463.8,0.00,0,0,0,0
2023-09-05 13:00:00,Ok,1693899000,44463.55,44471.85,44440.3,44449.55,0.00,0,0,0,0
