time,stat,ssboe,into,inth,intl,intc,intvwap,intv,intoi,v,oi
2023-09-04 13:30:00,Ok,1693814400,19512.5,19520.1,19509.1,19512.8,0.00,0,0,0,0
2023-09-04 13:35:00,Ok,1693814700,19513.9,19518.65,19511.35,19517.45,0.00,0,0,0,0
2023-09-04 13:40:00,Ok,1693815000,19517.65,19519.65,19511.0,19511.9,0.00,0,0,0,0
2023-09-04 13:45:00,Ok,1693815300,19512.55,19515.35,19504.25,19511.9,0.00,0,0,0,0
2023-09-04 13:50:00,Ok,1693815600,19512.0,19517.0,19508.6,19508.6,0.00,0,0,0,0
2023-09-04 13:55:00,Ok,1693815900,19509.75,19511.3,19494.85,19501.3,0.00,0,0,0,0
2023-09-04 14:00:00,Ok,1693816200,19501.0,19509.85,19495.65,19502.9,0.00,0,0,0,0
2023-09-04 14:05:00,Ok,1693816500,19503.2,19506.85,19494.7,19504.35,0.00,0,0,0,0
2023-09-04 14:10:00,Ok,1693816800,19505.5,19514.45,19500.45,19508.05,0.00,0,0,0,0
2023-09-04 14:15:00,Ok,1693817100,19508.9,19509.0,19498.6,19499.75,0.00,0,0,0,0
2023-09-04 14:20:00,Ok,1693817400,19499.95,19508.7,19495.95,19500.1,0.00,0,0,0,0
2023-09-04 14:25:00,Ok,1693817700,19500.6,19508.35,19496.75,19505.9,0.00,0,0,0,0
2023-09-04 14:30:00,Ok,1693818000,19507.75,19511.25,19500.5,19500.5,0.00,0,0,0,0
2023-09-04 14:35:00,Ok,1693818300,19502.0,19515.2,19498.65,19509.25,0.00,0,0,0,0
2023-09-04 14:40:00,Ok,1693818600,19510.85,19531.05,19504.45,19531.05,0.00,0,0,0,0
2023-09-04 14:45:00,Ok,1693818900,19531.4,19535.25,19524.95,19528.55,0.00,0,0,0,0
2023-09-04 14:50:00,Ok,1693819200,19528.05,19530.3,19523.7,19524.25,0.00,0,0,0,0
2023-09-04 14:55:00,Ok,1693819500,19524.1,19525.55,19516.05,19522.7,0.00,0,0,0,0
2023-09-04 15:00:00,Ok,1693819800,19522.6,19529.95,19513.55,19519.1,0.00,0,0,0,0
2023-09-04 15:05:00,Ok,1693820100,19519.2,19534.05,19518.3,19533.2,0.00,0,0,0,0
2023-09-04 15:10:00,Ok,1693820400,19533.05,19535.05,19525.55,19530.45,0.00,0,0,0,0
